hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
4095.0,926.0,2925.0,4095.0,3005.0,2550.0,2928.0,4095.0,0.24,9.81,3.71,-0.0,-0.08,-0.14,0.0,y
4095.0,936.0,2935.0,4095.0,3011.0,2558.0,2934.0,4095.0,0.13,9.93,3.74,0.0,-0.07,-0.14,0.0,y
4095.0,939.0,2926.0,4095.0,3010.0,2556.0,2928.0,4095.0,0.26,9.97,3.87,0.01,-0.04,-0.15,0.0,y
4095.0,934.0,2927.0,4095.0,3011.0,2554.0,2928.0,4095.0,0.23,9.82,3.94,0.04,-0.06,-0.19,0.0,y
4095.0,924.0,2933.0,4095.0,3011.0,2559.0,2945.0,4095.0,0.11,9.84,3.74,0.05,-0.01,-0.15,0.0,y
4095.0,935.0,2925.0,4095.0,3013.0,2559.0,2942.0,4095.0,0.44,9.91,3.74,0.04,-0.04,-0.11,0.0,y
4095.0,931.0,2935.0,4095.0,3022.0,2559.0,2942.0,4095.0,0.07,9.96,3.64,0.05,-0.01,-0.16,0.0,y
4095.0,925.0,2929.0,4095.0,3014.0,2559.0,2947.0,4095.0,0.28,9.91,3.77,0.03,0.01,-0.15,0.0,y
4095.0,944.0,2929.0,4095.0,3017.0,2559.0,2943.0,4095.0,0.29,9.79,3.78,0.02,0.01,-0.16,0.0,y
4095.0,927.0,2926.0,4095.0,3019.0,2559.0,2943.0,4095.0,0.42,9.88,3.64,0.05,-0.01,-0.13,0.0,y
4095.0,927.0,2934.0,4095.0,3025.0,2581.0,2946.0,4095.0,0.27,9.94,3.6,0.03,0.02,-0.15,0.0,y
4095.0,938.0,2928.0,4095.0,3022.0,2559.0,2944.0,4095.0,0.32,9.92,3.76,0.01,-0.01,-0.14,0.0,y
4095.0,925.0,2935.0,4095.0,3024.0,2580.0,2950.0,4095.0,0.46,9.86,3.62,0.0,-0.06,-0.15,0.0,y
4095.0,927.0,2931.0,4095.0,3020.0,2559.0,2946.0,4095.0,0.32,9.88,3.67,0.01,-0.03,-0.13,0.0,y
4095.0,937.0,2923.0,4095.0,3015.0,2589.0,2950.0,4095.0,0.35,9.9,3.69,0.03,0.01,-0.16,0.0,y
4095.0,931.0,2934.0,4095.0,3023.0,2586.0,2946.0,4095.0,0.38,9.88,3.74,0.03,-0.02,-0.16,0.0,y
4095.0,929.0,2922.0,4095.0,3024.0,2579.0,2945.0,4095.0,0.42,9.85,3.66,0.01,-0.01,-0.17,0.0,y
4095.0,933.0,2927.0,4095.0,3025.0,2581.0,2951.0,4095.0,0.32,9.91,3.49,-0.0,-0.03,-0.14,0.0,y
4095.0,927.0,2928.0,4095.0,3019.0,2588.0,2956.0,4095.0,0.27,9.84,3.83,0.04,-0.01,-0.15,0.0,y
4095.0,931.0,2928.0,4095.0,3026.0,2559.0,2960.0,4095.0,0.45,9.92,3.48,0.05,-0.03,-0.16,0.0,y
4095.0,928.0,2931.0,4095.0,3024.0,2583.0,2958.0,4095.0,0.19,9.86,3.62,0.02,-0.03,-0.16,0.0,y
4095.0,931.0,2925.0,4095.0,3028.0,2582.0,2953.0,4095.0,0.28,9.83,3.71,-0.0,-0.01,-0.15,0.0,y
4095.0,941.0,2922.0,4095.0,3024.0,2579.0,2950.0,4095.0,0.28,9.9,3.7,0.01,0.01,-0.14,0.0,y
