hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3273.0,901.0,2992.0,4095.0,3839.0,3191.0,3504.0,4095.0,-0.25,9.85,2.64,-0.06,-0.05,-0.02,1.0,y
3280.0,897.0,2992.0,4095.0,3841.0,3184.0,3522.0,4095.0,-0.78,9.76,2.49,0.0,-0.01,-0.07,1.0,y
3285.0,772.0,2999.0,4095.0,3829.0,3177.0,3531.0,4095.0,-0.62,9.83,2.38,-0.06,-0.02,-0.03,1.0,y
3280.0,1011.0,2995.0,4095.0,3824.0,3185.0,3510.0,4095.0,-0.78,9.76,2.32,-0.1,0.01,0.01,1.0,y
3275.0,897.0,2991.0,4095.0,3828.0,3183.0,3494.0,4095.0,-0.5,9.77,2.42,-0.12,0.03,-0.04,1.0,y
3282.0,902.0,2987.0,4095.0,3819.0,3173.0,3487.0,4095.0,-0.62,9.81,2.45,-0.08,-0.01,-0.01,1.0,y
3286.0,901.0,2991.0,4095.0,3830.0,3172.0,3477.0,4095.0,-0.52,9.82,2.57,-0.1,-0.02,-0.07,1.0,y
3274.0,906.0,2992.0,4095.0,3805.0,3166.0,3478.0,4095.0,-0.84,9.7,2.44,-0.06,0.02,0.01,1.0,y
3271.0,875.0,2995.0,4095.0,3824.0,3163.0,3471.0,4095.0,-0.44,9.76,2.49,-0.14,-0.07,-0.04,1.0,y
3280.0,902.0,2995.0,4095.0,3808.0,3146.0,3479.0,4095.0,-0.62,9.72,2.6,-0.11,-0.04,-0.05,1.0,y
3287.0,897.0,2999.0,4095.0,3799.0,3148.0,3468.0,4095.0,-0.56,9.67,2.66,-0.09,0.02,-0.05,1.0,y
3282.0,903.0,2989.0,4095.0,3819.0,3137.0,3447.0,4095.0,-0.5,9.74,2.54,-0.04,-0.03,-0.06,1.0,y
3271.0,903.0,3003.0,4095.0,3806.0,3087.0,3408.0,4095.0,-0.62,9.72,2.58,-0.06,-0.02,-0.11,1.0,y
3280.0,944.0,2997.0,4095.0,3778.0,3071.0,3365.0,4095.0,-0.45,9.7,2.67,-0.08,-0.06,-0.05,1.0,y
3263.0,887.0,3007.0,4095.0,3788.0,3059.0,3371.0,4095.0,-0.45,9.78,2.62,-0.07,-0.04,-0.05,1.0,y
3274.0,893.0,2999.0,4095.0,3751.0,3019.0,3331.0,4095.0,-0.59,9.74,2.65,0.0,-0.04,-0.12,1.0,y
3253.0,895.0,2991.0,4095.0,3715.0,3012.0,3323.0,4095.0,-0.54,9.75,2.64,-0.08,-0.1,-0.07,1.0,y
3253.0,899.0,3000.0,4095.0,3696.0,2991.0,3293.0,4095.0,-0.4,9.79,2.51,-0.04,-0.14,-0.15,1.0,y
3259.0,1070.0,2991.0,4095.0,3698.0,2991.0,3307.0,4095.0,-0.87,9.61,2.78,-0.1,-0.12,-0.09,1.0,y
3280.0,898.0,2987.0,4095.0,3713.0,2992.0,3300.0,4095.0,-0.85,9.64,2.9,-0.09,-0.02,-0.12,1.0,y
3271.0,890.0,2997.0,4095.0,3696.0,2999.0,3307.0,4095.0,-0.88,9.61,2.83,-0.05,-0.04,-0.06,1.0,y
3263.0,867.0,3002.0,4095.0,3696.0,3007.0,3302.0,4095.0,-0.78,9.8,2.4,-0.04,-0.03,-0.1,1.0,y
3267.0,889.0,3007.0,4095.0,3694.0,3024.0,3318.0,4095.0,-0.75,9.68,2.66,0.09,-0.03,-0.09,1.0,y
3276.0,877.0,2992.0,4095.0,3696.0,3037.0,3328.0,4095.0,-0.88,9.9,2.44,0.02,0.0,-0.09,1.0,y
3278.0,863.0,3002.0,4095.0,3705.0,3052.0,3332.0,4095.0,-0.95,9.71,2.5,-0.04,0.03,-0.06,1.0,y
3275.0,880.0,2995.0,4095.0,3710.0,3056.0,3350.0,4095.0,-0.91,9.7,2.65,-0.05,-0.0,-0.04,1.0,y
3275.0,906.0,2999.0,4095.0,3716.0,3061.0,3350.0,4095.0,-0.78,9.7,2.69,-0.03,-0.06,-0.08,1.0,y
3251.0,879.0,2996.0,4095.0,3715.0,3091.0,3387.0,4095.0,-0.78,9.79,2.54,-0.08,-0.11,-0.04,1.0,y
3246.0,878.0,2999.0,4095.0,3763.0,3142.0,3430.0,4095.0,-0.89,9.33,2.9,-0.03,0.0,-0.08,1.0,y
3243.0,880.0,3011.0,4095.0,3787.0,3203.0,3463.0,4095.0,-0.9,9.4,2.63,0.1,-0.15,-0.06,1.0,y
3205.0,881.0,2999.0,4095.0,3831.0,3259.0,3529.0,4095.0,-1.16,9.73,2.35,-0.07,-0.1,-0.02,1.0,y
3194.0,818.0,3007.0,4095.0,3803.0,3312.0,3597.0,4095.0,-1.03,9.69,2.62,0.1,-0.14,-0.05,1.0,y
3167.0,865.0,2998.0,4095.0,3838.0,3347.0,3653.0,4095.0,-0.87,9.88,2.15,-0.11,-0.16,-0.03,1.0,y
3184.0,887.0,3008.0,4095.0,3869.0,3349.0,3635.0,4095.0,-0.91,9.84,2.1,-0.05,0.03,0.02,1.0,y
3166.0,888.0,3001.0,4095.0,3862.0,3391.0,3694.0,4095.0,-0.73,9.73,2.45,-0.09,-0.03,-0.04,1.0,y
3170.0,867.0,3005.0,4095.0,3883.0,3408.0,3733.0,4095.0,-0.76,9.81,2.36,-0.05,-0.03,-0.03,1.0,y
3178.0,932.0,2993.0,4095.0,3857.0,3407.0,3770.0,4095.0,-1.07,9.62,2.65,-0.09,-0.03,-0.03,1.0,y
3162.0,900.0,2995.0,4095.0,3851.0,3453.0,3807.0,4095.0,-0.81,9.7,2.4,-0.07,-0.01,-0.0,1.0,y
3163.0,880.0,2999.0,4095.0,3859.0,3463.0,3820.0,4095.0,-0.93,9.65,2.54,-0.02,0.02,-0.01,1.0,y
3165.0,895.0,2993.0,4095.0,3920.0,3489.0,3831.0,4095.0,-0.73,9.58,2.5,-0.04,0.02,0.01,1.0,y
3170.0,941.0,2991.0,4095.0,3946.0,3507.0,3903.0,4095.0,-0.78,9.92,2.27,0.01,-0.07,0.01,1.0,y
3182.0,885.0,2992.0,4095.0,3966.0,3517.0,3885.0,4095.0,-0.74,9.77,2.34,-0.14,0.04,-0.11,1.0,y
3157.0,867.0,2999.0,4095.0,3983.0,3532.0,3904.0,4095.0,-0.76,9.8,2.48,-0.08,-0.1,-0.06,1.0,y
3178.0,846.0,2998.0,4095.0,3991.0,3522.0,3920.0,4095.0,-0.73,9.61,2.62,-0.12,0.01,-0.08,1.0,y
3152.0,887.0,2992.0,4095.0,3983.0,3535.0,3915.0,4095.0,-0.84,9.68,2.45,-0.06,-0.06,-0.07,1.0,y
3136.0,894.0,2994.0,4095.0,3972.0,3553.0,3934.0,4095.0,-0.71,9.64,2.54,-0.07,0.02,-0.1,1.0,y
3163.0,886.0,3002.0,4095.0,3987.0,3534.0,3910.0,4095.0,-0.84,9.87,2.2,-0.14,0.04,-0.06,1.0,y
3151.0,887.0,3007.0,4095.0,4000.0,3538.0,3914.0,4095.0,-0.74,9.69,2.75,-0.05,-0.0,-0.02,1.0,y
3145.0,887.0,2983.0,4095.0,3981.0,3536.0,3915.0,4095.0,-0.94,9.65,2.63,-0.16,0.01,-0.05,1.0,y
3151.0,885.0,2992.0,4095.0,3984.0,3520.0,3911.0,4095.0,-0.85,9.68,2.78,-0.05,0.01,-0.04,1.0,y
3162.0,874.0,3002.0,4095.0,3987.0,3520.0,3900.0,4095.0,-0.84,9.67,2.62,-0.09,-0.0,-0.03,1.0,y
3143.0,887.0,2993.0,4095.0,4001.0,3519.0,3897.0,4095.0,-0.86,9.61,2.8,0.01,-0.0,-0.03,1.0,y
3155.0,893.0,3005.0,4095.0,3993.0,3519.0,3871.0,4095.0,-0.76,9.72,2.55,-0.1,0.03,0.01,1.0,y
3147.0,889.0,2997.0,4095.0,4001.0,3519.0,3865.0,4095.0,-0.78,9.81,2.45,-0.04,0.02,0.01,1.0,y
3153.0,852.0,3004.0,4095.0,3997.0,3493.0,3843.0,4095.0,-0.77,9.65,2.58,-0.1,0.07,0.03,1.0,y
3137.0,885.0,2994.0,4095.0,3967.0,3463.0,3797.0,4095.0,-0.62,9.76,2.74,0.02,-0.02,-0.01,1.0,y
3151.0,886.0,2989.0,4095.0,3985.0,3481.0,3829.0,4095.0,-0.64,9.66,2.68,-0.02,0.02,0.01,1.0,y
3159.0,884.0,2997.0,4095.0,3991.0,3451.0,3769.0,4095.0,-0.84,9.73,2.58,-0.02,0.1,0.03,1.0,y
3145.0,894.0,2995.0,4095.0,3995.0,3467.0,3761.0,4095.0,-0.69,9.66,2.71,0.03,-0.05,-0.0,1.0,y
3154.0,864.0,3001.0,4095.0,3959.0,3452.0,3792.0,4095.0,-0.66,9.79,2.25,0.05,-0.04,0.01,1.0,y
3150.0,898.0,2992.0,4095.0,3936.0,3451.0,3798.0,4095.0,-0.46,9.83,2.42,-0.02,0.0,0.01,1.0,y
3151.0,896.0,3003.0,4095.0,3952.0,3445.0,3784.0,4095.0,-0.83,9.69,2.55,-0.11,0.11,0.09,1.0,y
3140.0,1066.0,2992.0,4095.0,3950.0,3435.0,3792.0,4095.0,-0.56,9.7,2.6,-0.03,-0.02,0.07,1.0,y
3153.0,892.0,2999.0,4095.0,3930.0,3425.0,3789.0,4095.0,-0.51,9.73,2.32,-0.07,-0.01,0.1,1.0,y
3159.0,896.0,2999.0,4095.0,3927.0,3423.0,3781.0,4095.0,-0.56,9.8,2.32,-0.0,-0.03,0.07,1.0,y
3147.0,863.0,2990.0,4095.0,3947.0,3441.0,3766.0,4095.0,-0.27,9.84,2.24,-0.03,-0.06,0.14,1.0,y
3151.0,806.0,3024.0,4095.0,3945.0,3447.0,3781.0,4095.0,-0.12,9.8,2.53,-0.04,-0.02,0.12,1.0,y
3152.0,894.0,2985.0,4095.0,3953.0,3439.0,3782.0,4095.0,0.38,9.85,2.76,-0.04,-0.12,0.03,1.0,y
3153.0,806.0,2992.0,4095.0,3953.0,3440.0,3793.0,4095.0,0.32,9.75,2.76,-0.05,-0.08,-0.05,1.0,y
3155.0,883.0,2999.0,4095.0,3950.0,3447.0,3803.0,4095.0,-0.35,9.96,2.31,0.11,-0.2,-0.12,1.0,y
3148.0,897.0,2998.0,4095.0,3933.0,3463.0,3783.0,4095.0,-0.15,9.93,2.1,-0.01,-0.08,-0.08,1.0,y
3153.0,892.0,2992.0,4095.0,3934.0,3446.0,3799.0,4095.0,-0.45,9.85,2.18,-0.04,-0.11,-0.05,1.0,y
3143.0,893.0,3003.0,4095.0,3965.0,3450.0,3790.0,4095.0,-0.32,9.79,2.13,-0.07,-0.1,-0.03,1.0,y
3159.0,896.0,2992.0,4095.0,3972.0,3469.0,3795.0,4095.0,-0.61,9.65,2.44,-0.04,0.07,-0.01,1.0,y
3154.0,896.0,2992.0,4095.0,3982.0,3437.0,3811.0,4095.0,-0.14,9.8,2.09,-0.04,0.03,0.08,1.0,y
3152.0,893.0,2995.0,4095.0,3957.0,3402.0,3806.0,4095.0,-0.06,9.96,2.25,-0.01,-0.07,0.02,1.0,y
3152.0,809.0,2994.0,4095.0,3953.0,3429.0,3805.0,4095.0,0.1,9.88,2.53,-0.02,0.08,0.04,1.0,y
3159.0,896.0,2995.0,4095.0,3949.0,3454.0,3788.0,4095.0,-0.04,9.78,2.22,-0.09,0.1,0.02,1.0,y
3154.0,827.0,3007.0,4095.0,3933.0,3445.0,3781.0,4095.0,0.12,9.99,1.98,-0.09,-0.09,-0.05,1.0,y
3156.0,899.0,3001.0,4095.0,3977.0,3442.0,3779.0,4095.0,-0.14,9.86,2.4,-0.12,-0.0,0.0,1.0,y
3139.0,898.0,2997.0,4095.0,3925.0,3427.0,3806.0,4095.0,0.12,9.76,2.51,-0.03,0.04,-0.01,1.0,y
3137.0,908.0,2989.0,4095.0,3955.0,3386.0,3783.0,4095.0,0.06,9.88,2.09,-0.09,0.0,0.0,1.0,y
3139.0,832.0,3007.0,4095.0,3920.0,3362.0,3797.0,4095.0,0.24,9.86,2.49,0.05,0.05,-0.02,1.0,y
3135.0,893.0,2992.0,4095.0,3931.0,3290.0,3792.0,4095.0,0.03,9.75,2.46,-0.01,-0.04,-0.07,1.0,y
3151.0,898.0,2999.0,4095.0,3922.0,3216.0,3791.0,4095.0,-0.08,9.89,2.21,0.01,0.1,-0.05,1.0,y
3137.0,894.0,3003.0,4095.0,3933.0,3184.0,3823.0,4095.0,0.15,9.84,2.09,-0.0,-0.03,-0.09,1.0,y
3135.0,896.0,2993.0,4095.0,3935.0,3101.0,3801.0,4095.0,-0.05,9.72,2.16,0.0,-0.06,-0.07,1.0,y
3145.0,1056.0,2992.0,4095.0,3925.0,3084.0,3826.0,4095.0,-0.23,9.76,2.25,-0.01,0.05,-0.09,1.0,y
3160.0,894.0,2992.0,4095.0,3949.0,3071.0,3831.0,4095.0,0.25,10.04,2.11,0.03,0.04,-0.11,1.0,y
3131.0,874.0,2992.0,4095.0,3956.0,3071.0,3823.0,4095.0,0.43,10.09,1.69,-0.03,-0.04,-0.1,1.0,y
3140.0,897.0,3003.0,4095.0,3941.0,3105.0,3824.0,4095.0,-0.01,9.99,1.97,-0.04,-0.07,-0.06,1.0,y
3115.0,899.0,2992.0,4095.0,4000.0,3170.0,3829.0,4095.0,-0.36,9.88,2.03,-0.24,0.08,-0.14,1.0,y
3115.0,898.0,2993.0,4095.0,4033.0,3189.0,3860.0,4095.0,-0.56,9.84,1.94,-0.15,-0.02,-0.06,1.0,y
3104.0,945.0,2995.0,4095.0,4031.0,3212.0,3854.0,4095.0,-0.41,9.72,2.23,-0.16,0.12,0.01,1.0,y
3120.0,903.0,2998.0,4095.0,4023.0,3177.0,3845.0,4095.0,-0.27,9.68,2.64,-0.1,0.04,0.03,1.0,y
3117.0,896.0,2992.0,4095.0,3959.0,3139.0,3818.0,4095.0,-0.49,9.82,2.39,-0.05,0.08,0.03,1.0,y
3141.0,896.0,3002.0,4095.0,3961.0,3162.0,3836.0,4095.0,0.03,9.84,2.08,-0.08,0.02,0.11,1.0,y
3146.0,800.0,3006.0,4095.0,3975.0,3216.0,3820.0,4095.0,0.18,10.0,2.26,-0.05,0.1,-0.0,1.0,y
3141.0,901.0,2988.0,4095.0,3966.0,3305.0,3807.0,4095.0,-0.07,9.72,2.59,0.02,0.07,-0.0,1.0,y
3151.0,895.0,2992.0,4095.0,3973.0,3301.0,3836.0,4095.0,-0.1,9.98,2.01,-0.02,0.09,-0.01,1.0,y
3159.0,898.0,3005.0,4095.0,3981.0,3312.0,3847.0,4095.0,0.34,9.96,2.15,-0.06,0.02,-0.03,1.0,y
3145.0,900.0,2992.0,4095.0,3979.0,3298.0,3814.0,4095.0,0.27,9.82,2.36,-0.06,0.07,-0.07,1.0,y
3150.0,897.0,2990.0,4095.0,3970.0,3312.0,3813.0,4095.0,0.14,9.97,2.24,-0.01,0.05,-0.08,1.0,y
3140.0,898.0,2992.0,4095.0,3942.0,3312.0,3817.0,4095.0,-0.04,9.77,2.25,0.07,0.09,-0.09,1.0,y
3147.0,896.0,2992.0,4095.0,3957.0,3312.0,3838.0,4095.0,-0.22,9.88,1.94,0.09,0.16,-0.06,1.0,y
3137.0,894.0,2997.0,4095.0,3975.0,3302.0,3814.0,4095.0,-0.25,9.99,1.58,0.01,0.1,-0.07,1.0,y
3139.0,898.0,3007.0,4095.0,3959.0,3319.0,3818.0,4095.0,-0.05,9.93,1.87,-0.06,0.11,-0.09,1.0,y
3141.0,889.0,3003.0,4095.0,3967.0,3319.0,3808.0,4095.0,-0.12,9.98,1.83,-0.11,-0.03,-0.07,1.0,y
3141.0,894.0,2991.0,4095.0,3980.0,3321.0,3823.0,4095.0,-0.36,9.79,1.96,-0.06,0.02,-0.04,1.0,y
3151.0,891.0,2995.0,4095.0,3966.0,3328.0,3819.0,4095.0,0.1,9.86,2.02,-0.17,-0.04,-0.05,1.0,y
3152.0,887.0,2993.0,4095.0,3959.0,3319.0,3839.0,4095.0,-0.04,9.99,1.88,-0.03,-0.08,-0.07,1.0,y
3132.0,851.0,2982.0,4095.0,3978.0,3323.0,3853.0,4095.0,-0.12,9.83,2.24,-0.12,0.05,-0.08,1.0,y
3138.0,901.0,2994.0,3968.0,3969.0,3329.0,3829.0,4095.0,-0.22,9.92,1.89,-0.11,0.08,-0.06,1.0,y
3145.0,951.0,2997.0,4000.0,3975.0,3312.0,3837.0,4095.0,-0.23,9.76,2.6,-0.04,-0.06,-0.15,1.0,y
3150.0,892.0,2995.0,4095.0,3958.0,3332.0,3834.0,4095.0,-0.58,9.79,2.21,-0.1,0.02,-0.11,1.0,y
3135.0,943.0,2997.0,4095.0,3985.0,3312.0,3855.0,4095.0,-0.28,9.87,2.06,0.03,-0.12,-0.11,1.0,y
3143.0,886.0,2994.0,4095.0,3974.0,3332.0,3856.0,4095.0,-0.49,9.86,2.02,-0.12,-0.03,-0.16,1.0,y
3147.0,889.0,3008.0,4095.0,3983.0,3342.0,3856.0,4095.0,-0.53,9.83,2.11,0.01,0.0,-0.07,1.0,y
3136.0,887.0,2991.0,4095.0,3996.0,3328.0,3855.0,4095.0,-0.16,9.86,2.04,-0.04,-0.09,-0.13,1.0,y
3146.0,901.0,3003.0,4095.0,3986.0,3330.0,3878.0,4095.0,-0.59,9.89,2.02,-0.03,-0.08,-0.11,1.0,y
