hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
4095.0,1472.0,2941.0,4095.0,2734.0,2453.0,2837.0,4095.0,-0.29,9.91,5.19,-0.0,-0.03,-0.16,0.0,y
4095.0,1481.0,2935.0,4095.0,2733.0,2451.0,2835.0,4095.0,-0.27,9.83,5.2,0.05,-0.04,-0.18,0.0,y
4095.0,1464.0,2934.0,4095.0,2733.0,2447.0,2834.0,4095.0,-0.28,9.91,5.08,0.16,-0.17,-0.34,0.0,y
4095.0,1459.0,2945.0,4095.0,2733.0,2446.0,2835.0,4095.0,-0.67,9.8,5.1,0.02,0.02,-0.17,0.0,y
4095.0,1456.0,2944.0,4095.0,2733.0,2446.0,2833.0,4095.0,-0.43,9.86,5.14,0.0,0.04,-0.13,0.0,y
4095.0,1473.0,2931.0,4095.0,2735.0,2446.0,2838.0,4095.0,-0.5,9.86,5.1,0.01,-0.05,-0.16,0.0,y
4095.0,1472.0,2944.0,4095.0,2738.0,2449.0,2841.0,4095.0,-0.41,9.82,5.2,-0.03,-0.0,-0.16,0.0,y
4095.0,1479.0,2939.0,4095.0,2735.0,2446.0,2841.0,4095.0,-0.32,10.0,4.75,-0.04,-0.17,-0.11,0.0,y
4095.0,1501.0,2945.0,4095.0,2742.0,2450.0,2849.0,4095.0,-0.55,9.75,5.16,0.03,-0.06,-0.14,0.0,y
4095.0,1487.0,2941.0,4095.0,2693.0,2429.0,2834.0,4095.0,-0.44,9.79,5.19,-0.04,-0.06,-0.12,0.0,y
4095.0,1482.0,2949.0,4095.0,2690.0,2426.0,2833.0,4095.0,0.02,9.85,5.38,-0.06,-0.05,-0.14,0.0,y
4095.0,1473.0,2933.0,4095.0,2697.0,2432.0,2834.0,4095.0,0.23,9.9,5.36,-0.1,0.11,-0.2,0.0,y
4095.0,1474.0,2943.0,4095.0,2703.0,2430.0,2833.0,4095.0,-0.43,9.88,5.18,-0.08,-0.04,-0.41,0.0,y
4095.0,1487.0,2938.0,4095.0,2707.0,2431.0,2838.0,4095.0,-1.24,9.66,5.61,-0.06,-0.15,-0.36,0.0,y
4095.0,1483.0,2934.0,4095.0,2711.0,2431.0,2838.0,4095.0,-1.03,9.88,5.29,-0.1,-0.1,-0.23,0.0,y
4095.0,1480.0,2941.0,4095.0,2707.0,2444.0,2835.0,4095.0,-1.37,9.55,5.71,-0.37,0.15,-0.22,0.0,y
4095.0,1459.0,2928.0,4095.0,2729.0,2448.0,2839.0,4095.0,-1.6,9.33,6.51,-0.06,-0.03,-0.15,0.0,y
4095.0,1461.0,2943.0,4095.0,2738.0,2454.0,2845.0,4095.0,-1.19,9.35,6.67,-0.03,0.05,0.06,0.0,y
4095.0,1465.0,2942.0,4095.0,2736.0,2455.0,2839.0,4095.0,-0.9,9.63,6.12,0.03,0.06,0.12,0.0,y
4095.0,1488.0,2941.0,4095.0,2749.0,2459.0,2841.0,4095.0,-0.19,9.78,6.05,-0.06,0.07,0.03,0.0,y
4095.0,1490.0,2935.0,4095.0,2745.0,2453.0,2843.0,4095.0,-0.73,9.61,6.41,-0.06,-0.11,0.01,0.0,y
4095.0,1487.0,2944.0,4095.0,2755.0,2461.0,2843.0,4095.0,-0.38,9.71,6.15,-0.01,-0.12,0.01,0.0,y
4095.0,1496.0,2938.0,4095.0,2751.0,2454.0,2841.0,4095.0,0.55,9.59,6.77,-0.1,-0.13,0.04,0.0,y
4095.0,1496.0,2943.0,4095.0,2757.0,2454.0,2841.0,4095.0,0.66,9.58,6.88,0.01,-0.09,-0.1,0.0,y
4095.0,1511.0,2938.0,4095.0,2762.0,2457.0,2843.0,4095.0,0.36,9.68,6.46,0.11,0.01,-0.21,0.0,y
4095.0,1518.0,2939.0,4095.0,2765.0,2455.0,2837.0,4095.0,0.32,9.65,6.48,0.12,-0.01,-0.28,0.0,y
4095.0,1500.0,2934.0,4095.0,2757.0,2448.0,2836.0,4095.0,-0.01,9.66,6.35,0.03,-0.03,-0.3,0.0,y
4095.0,1511.0,2934.0,4095.0,2763.0,2453.0,2841.0,4095.0,-0.1,9.67,6.22,0.1,0.06,-0.32,0.0,y
4095.0,1504.0,2928.0,4095.0,2760.0,2450.0,2837.0,4095.0,-0.52,9.63,6.2,0.09,0.13,-0.36,0.0,y
4095.0,1509.0,2931.0,4095.0,2768.0,2453.0,2841.0,4095.0,-0.75,9.69,5.97,0.1,0.04,-0.33,0.0,y
4095.0,1513.0,2945.0,4095.0,2767.0,2457.0,2842.0,4095.0,-0.98,9.68,5.87,0.02,0.03,-0.28,0.0,y
