hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3033.0,3058.0,2947.0,3432.0,4095.0,2592.0,2757.0,2507.0,2.03,9.37,7.55,0.0,0.08,0.03,0.0,z
3035.0,3056.0,2947.0,3417.0,4095.0,2581.0,2751.0,2498.0,5.94,8.29,7.44,-0.04,0.05,-0.15,0.0,z
3043.0,3071.0,2961.0,3442.0,4095.0,2559.0,2755.0,2505.0,5.59,7.59,7.75,0.07,-0.61,-2.03,0.0,z
3034.0,3046.0,2960.0,3458.0,4095.0,2583.0,2753.0,2511.0,-1.49,9.22,7.61,-0.37,-1.25,-1.61,0.0,z
3029.0,3053.0,2956.0,3457.0,4095.0,2590.0,2748.0,2494.0,-5.27,7.0,7.05,-1.1,-1.21,-0.65,0.0,z
3029.0,3056.0,2951.0,3472.0,4095.0,2597.0,2750.0,2500.0,-7.17,5.67,10.28,-1.16,0.28,0.68,0.0,z
3035.0,3050.0,2949.0,3470.0,4095.0,2559.0,2757.0,2506.0,-0.24,5.98,11.52,-1.4,1.11,1.68,0.0,z
3035.0,3049.0,2950.0,3474.0,4095.0,2559.0,2757.0,2510.0,2.31,5.12,12.47,-1.35,1.32,1.1,0.0,z
3027.0,3057.0,2952.0,3465.0,4095.0,2553.0,2750.0,2491.0,6.75,6.65,15.6,-1.33,0.58,0.49,0.0,z
3030.0,3059.0,2957.0,3495.0,4095.0,2559.0,2755.0,2503.0,7.76,4.17,15.47,-0.11,-0.76,-1.75,0.0,z
3025.0,3052.0,2946.0,3503.0,4095.0,2547.0,2755.0,2512.0,2.77,3.77,12.17,-0.16,-1.17,-3.53,0.0,z
3052.0,3056.0,2961.0,3514.0,4095.0,2542.0,2759.0,2527.0,-5.67,1.53,14.93,-1.21,-0.05,-2.11,0.0,z
3024.0,3046.0,2961.0,3519.0,4095.0,2544.0,2754.0,2518.0,-6.91,1.75,14.2,-0.53,-0.27,-1.46,0.0,z
3024.0,3056.0,2960.0,3534.0,4095.0,2551.0,2768.0,2531.0,-3.36,2.79,13.77,0.11,0.08,-0.31,0.0,z
3029.0,3057.0,2957.0,3502.0,4095.0,2546.0,2770.0,2538.0,-1.38,3.62,13.25,-0.01,0.13,-0.15,0.0,z
3026.0,3053.0,2956.0,3515.0,4095.0,2549.0,2758.0,2528.0,-2.04,3.89,13.44,-0.06,0.11,-0.06,0.0,z
3039.0,3054.0,2960.0,3522.0,4095.0,2553.0,2765.0,2533.0,-1.61,3.22,13.55,-0.15,-0.01,-0.12,0.0,z
3024.0,3061.0,2951.0,3521.0,4095.0,2547.0,2763.0,2531.0,-1.75,3.0,13.94,-0.04,0.01,-0.14,0.0,z
3030.0,3056.0,2960.0,3535.0,4095.0,2549.0,2768.0,2539.0,-2.28,3.21,13.66,0.04,-0.04,-0.04,0.0,z
3022.0,3056.0,2950.0,3520.0,4095.0,2559.0,2767.0,2529.0,-2.45,3.38,13.83,0.19,-0.05,0.1,0.0,z
3041.0,3054.0,2944.0,3549.0,4095.0,2551.0,2787.0,2538.0,7.26,6.41,9.17,0.25,-0.39,-0.86,0.0,z
3027.0,3056.0,2951.0,3554.0,4095.0,2559.0,2793.0,2550.0,3.24,8.02,9.99,-0.47,-2.27,-1.45,0.0,z
3047.0,3062.0,2951.0,3542.0,4095.0,2559.0,2798.0,2549.0,-1.51,7.51,10.92,-0.56,-1.78,-1.37,0.0,z
3027.0,3060.0,2960.0,3530.0,4095.0,2557.0,2789.0,2548.0,-5.65,6.28,10.41,-0.46,-0.92,-0.91,0.0,z
3047.0,3070.0,2966.0,3550.0,4095.0,2559.0,2795.0,2544.0,-6.44,7.37,7.52,-0.69,0.65,0.51,0.0,z
3031.0,3046.0,2959.0,3543.0,4095.0,2546.0,2793.0,2542.0,-1.71,5.2,13.07,-1.38,1.04,1.22,0.0,z
3041.0,3049.0,2958.0,3569.0,4095.0,2557.0,2802.0,2543.0,2.31,4.4,14.44,-1.16,1.4,1.47,0.0,z
3031.0,3057.0,2962.0,3551.0,4095.0,2535.0,2795.0,2525.0,8.63,4.1,14.01,-0.87,0.39,0.44,0.0,z
3039.0,3047.0,2950.0,3571.0,4095.0,2534.0,2801.0,2534.0,9.13,2.71,15.47,-1.03,-0.45,-1.84,0.0,z
3044.0,3065.0,2960.0,3566.0,4095.0,2526.0,2800.0,2545.0,2.86,1.83,15.5,-0.5,-0.15,-3.3,0.0,z
3042.0,3056.0,2960.0,3563.0,4095.0,2537.0,2807.0,2558.0,-1.45,-0.19,14.64,-0.5,-0.79,-4.37,0.0,z
3039.0,3047.0,2960.0,3570.0,4095.0,2528.0,2803.0,2556.0,-5.38,-0.51,13.29,0.51,0.6,-2.05,0.0,z
3031.0,3056.0,2953.0,3568.0,4095.0,2533.0,2813.0,2559.0,-5.19,-0.29,13.3,-0.18,-0.29,-0.69,0.0,z
3030.0,3053.0,2960.0,3578.0,4095.0,2537.0,2807.0,2559.0,-3.22,1.26,13.97,-0.11,0.15,-0.17,0.0,z
3039.0,3047.0,2951.0,3579.0,4095.0,2544.0,2811.0,2559.0,-1.1,1.53,14.18,-0.09,0.12,0.12,0.0,z
3042.0,3051.0,2960.0,3574.0,4095.0,2546.0,2814.0,2559.0,-1.0,1.43,14.64,-0.13,-0.04,-0.03,0.0,z
3043.0,3046.0,2961.0,3580.0,4095.0,2538.0,2807.0,2559.0,-1.07,1.4,14.01,0.02,-0.15,-0.09,0.0,z
3047.0,3051.0,2957.0,3583.0,4095.0,2548.0,2810.0,2559.0,-1.39,1.65,13.89,0.09,-0.17,-0.08,0.0,z
3022.0,3056.0,2953.0,3583.0,4095.0,2550.0,2810.0,2559.0,-1.0,1.47,13.97,0.06,0.16,-0.13,0.0,z
3043.0,3051.0,2963.0,3570.0,4095.0,2554.0,2815.0,2559.0,-2.43,2.45,13.03,0.47,0.73,0.16,0.0,z
3033.0,3059.0,2958.0,3632.0,4095.0,2585.0,2823.0,2595.0,3.16,9.45,9.57,0.08,-0.83,-0.4,0.0,z
3034.0,3054.0,2953.0,3621.0,4095.0,2591.0,2830.0,2601.0,7.57,8.15,7.18,-0.26,-1.25,-0.99,0.0,z
3022.0,3050.0,2960.0,3596.0,4095.0,2590.0,2822.0,2594.0,6.39,6.68,8.64,-0.56,-1.66,-2.07,0.0,z
3045.0,3070.0,2962.0,3639.0,4095.0,2585.0,2829.0,2603.0,-3.5,3.97,11.18,-1.5,-0.54,-1.8,0.0,z
3027.0,3055.0,2958.0,3619.0,4095.0,2594.0,2829.0,2597.0,-9.9,4.41,13.0,-0.95,-0.76,-0.98,0.0,z
3039.0,3067.0,2955.0,3639.0,4095.0,2596.0,2829.0,2597.0,-6.23,4.63,12.07,-0.17,0.28,0.78,0.0,z
3035.0,3058.0,2961.0,3661.0,4095.0,2597.0,2833.0,2602.0,-1.29,5.6,11.31,-0.64,-0.03,1.42,0.0,z
3030.0,3043.0,2959.0,3622.0,4095.0,2591.0,2830.0,2597.0,2.93,5.51,11.01,-1.31,1.18,2.11,0.0,z
3037.0,3047.0,2954.0,3600.0,4095.0,2559.0,2816.0,2559.0,10.97,2.09,15.99,-1.87,0.58,0.89,0.0,z
3024.0,3054.0,2947.0,3607.0,4095.0,2559.0,2816.0,2592.0,10.02,3.28,15.19,-0.53,-0.04,-1.39,0.0,z
3035.0,3062.0,2957.0,3611.0,4095.0,2559.0,2822.0,2603.0,2.57,3.28,13.69,-0.98,-0.94,-2.73,0.0,z
3026.0,3051.0,2958.0,3582.0,4095.0,2509.0,2814.0,2597.0,1.4,-2.32,15.04,-0.45,0.25,-2.99,0.0,z
3041.0,3066.0,2951.0,3600.0,4095.0,2514.0,2832.0,2613.0,-4.01,-1.63,14.45,0.03,-0.1,-2.35,0.0,z
3024.0,3039.0,2957.0,3581.0,4095.0,2525.0,2831.0,2611.0,-3.58,-0.35,14.19,-0.15,0.01,-1.06,0.0,z
3043.0,3047.0,2953.0,3623.0,4095.0,2538.0,2835.0,2617.0,-1.06,0.99,14.61,-0.07,0.07,-0.06,0.0,z
3033.0,3047.0,2954.0,3621.0,4095.0,2535.0,2832.0,2610.0,0.55,1.22,14.32,-0.02,0.04,0.05,0.0,z
3024.0,3053.0,2956.0,3623.0,4095.0,2542.0,2838.0,2622.0,0.76,1.28,13.96,-0.02,0.04,-0.16,0.0,z
3040.0,3051.0,2966.0,3623.0,4095.0,2536.0,2832.0,2622.0,0.2,0.99,14.32,-0.07,0.03,-0.24,0.0,z
3024.0,3036.0,2967.0,3621.0,4095.0,2541.0,2833.0,2614.0,-0.04,0.71,14.69,-0.02,0.05,-0.22,0.0,z
3033.0,3057.0,2960.0,3632.0,4095.0,2545.0,2835.0,2624.0,-0.12,0.91,14.32,0.12,0.05,-0.19,0.0,z
3035.0,3047.0,2963.0,3651.0,4095.0,2559.0,2851.0,2646.0,2.74,9.04,8.5,-0.16,-0.29,-0.35,0.0,z
3029.0,3068.0,2963.0,3613.0,4095.0,2555.0,2838.0,2639.0,6.06,8.74,8.41,-0.17,0.28,-0.7,0.0,z
3029.0,3056.0,2971.0,3661.0,4095.0,2559.0,2845.0,2647.0,0.95,7.34,10.77,-0.23,-1.09,-2.03,0.0,z
3026.0,3040.0,2945.0,3661.0,4095.0,2559.0,2842.0,2643.0,-2.34,6.93,10.04,0.43,-0.58,-0.69,0.0,z
3031.0,3063.0,2959.0,3655.0,4095.0,2559.0,2842.0,2647.0,-5.62,5.56,9.81,-0.43,-0.99,-0.72,0.0,z
3031.0,3067.0,2958.0,3651.0,4095.0,2559.0,2843.0,2652.0,-7.13,6.73,9.07,-0.37,0.18,0.38,0.0,z
3046.0,3051.0,2953.0,3659.0,4095.0,2559.0,2841.0,2649.0,-1.41,6.03,10.47,-1.21,0.29,0.69,0.0,z
