hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3357.0,2701.0,2958.0,2855.0,4095.0,2974.0,2323.0,2842.0,2.31,9.44,2.73,0.41,-1.08,-0.95,z
3356.0,2699.0,2959.0,2823.0,4095.0,2967.0,2311.0,2841.0,0.6,9.54,1.27,0.54,-1.69,-0.96,z
3361.0,2705.0,2960.0,2806.0,4095.0,2967.0,2310.0,2848.0,0.27,9.23,1.15,0.91,-1.93,-1.63,z
3377.0,2719.0,2974.0,2815.0,4095.0,2972.0,2341.0,2842.0,-3.95,8.58,-0.86,1.11,-1.4,-1.59,z
3381.0,2717.0,2961.0,2800.0,4095.0,2965.0,2353.0,2839.0,-3.7,6.28,-2.13,0.71,-1.42,-1.8,z
3381.0,2718.0,2973.0,2781.0,4095.0,2969.0,2340.0,2844.0,-8.05,5.96,-4.39,0.28,-0.79,-1.48,z
3377.0,2717.0,2980.0,2782.0,4095.0,2965.0,2331.0,2850.0,-11.36,5.53,-5.8,-1.05,-0.29,-0.63,z
3371.0,2720.0,2973.0,2782.0,4095.0,2960.0,2338.0,2849.0,-8.39,5.26,-1.3,-1.42,-0.11,0.98,z
3376.0,2717.0,2976.0,2768.0,4095.0,2965.0,2321.0,2839.0,-6.96,5.3,-1.51,-2.06,1.04,0.7,z
3371.0,2715.0,2976.0,2768.0,4095.0,2961.0,2319.0,2839.0,-6.92,3.53,1.33,-2.48,1.58,1.82,z
3366.0,2705.0,2969.0,2766.0,4095.0,2967.0,2317.0,2839.0,-1.73,6.48,7.39,-3.55,1.53,2.46,z
3359.0,2818.0,3062.0,2765.0,4095.0,3062.0,2427.0,2946.0,0.73,9.37,8.79,-2.02,1.93,1.85,z
3357.0,2811.0,3062.0,2768.0,4095.0,3061.0,2431.0,2953.0,7.37,9.77,12.49,-1.52,0.43,1.78,z
3355.0,2815.0,3065.0,2768.0,4095.0,3071.0,2434.0,2958.0,9.73,9.17,10.58,-0.76,0.27,-0.41,z
3351.0,2814.0,3059.0,2775.0,4095.0,3071.0,2432.0,2955.0,8.01,7.02,10.11,0.13,-0.63,-2.12,z
3344.0,2813.0,3056.0,2795.0,4095.0,3066.0,2429.0,2948.0,1.53,8.53,8.26,1.17,-2.21,-2.86,z
3334.0,2714.0,2977.0,2800.0,4095.0,2973.0,2327.0,2869.0,-13.0,4.18,5.5,1.33,-1.24,-3.09,z
3344.0,2704.0,2967.0,2807.0,4095.0,2962.0,2323.0,2864.0,-10.26,7.75,2.44,1.53,-2.21,0.93,z
