hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2923.0,3058.0,3029.0,3331.0,4095.0,2892.0,3157.0,3296.0,0.79,9.4,3.53,0.04,-0.17,-0.19,1.0,z
2926.0,3082.0,3021.0,3344.0,4095.0,2899.0,3167.0,3310.0,-0.18,9.17,3.27,-0.02,-0.27,-0.39,1.0,z
2923.0,3056.0,3025.0,3344.0,4095.0,2896.0,3152.0,3297.0,-3.48,9.2,2.57,-0.23,0.18,-0.18,1.0,z
2924.0,2959.0,3021.0,3347.0,4095.0,2895.0,3169.0,3301.0,-6.88,7.63,4.17,-0.69,1.13,0.57,1.0,z
2908.0,3062.0,3026.0,3345.0,4095.0,2887.0,3158.0,3311.0,5.33,7.43,7.02,-0.69,1.92,1.93,1.0,z
2921.0,3056.0,3024.0,3351.0,4095.0,2886.0,3150.0,3283.0,14.12,10.06,7.61,0.04,-0.2,-0.28,1.0,z
2925.0,3056.0,3014.0,3361.0,4095.0,2897.0,3161.0,3313.0,3.56,7.28,5.39,0.21,-2.03,-1.9,1.0,z
2914.0,3059.0,3027.0,3359.0,4095.0,2895.0,3167.0,3307.0,-6.62,5.98,4.96,-0.32,-1.69,-1.84,1.0,z
2919.0,3066.0,3023.0,3358.0,4095.0,2890.0,3163.0,3302.0,-12.15,5.98,3.71,-0.58,0.64,0.14,1.0,z
2928.0,3063.0,3035.0,3365.0,4095.0,2826.0,3154.0,3312.0,-4.38,6.35,7.55,-1.58,1.91,1.85,1.0,z
2923.0,3071.0,3023.0,3343.0,4095.0,2896.0,3169.0,3310.0,8.69,9.23,10.95,-0.98,1.62,0.99,1.0,z
2923.0,3057.0,3030.0,3354.0,4095.0,2899.0,3169.0,3320.0,0.92,7.92,7.78,-0.14,0.56,-0.37,1.0,z
2930.0,3058.0,3023.0,3358.0,4095.0,2896.0,3172.0,3312.0,-0.81,7.21,7.19,-0.16,-0.0,0.03,1.0,z
2928.0,3067.0,3034.0,3375.0,4095.0,2896.0,3173.0,3312.0,-1.43,6.97,7.2,0.02,0.09,-0.12,1.0,z
2918.0,3071.0,3026.0,3361.0,4095.0,2901.0,3171.0,3313.0,-1.1,6.92,7.12,-0.11,0.08,-0.07,1.0,z
2923.0,3147.0,3031.0,3374.0,4095.0,2910.0,3164.0,3313.0,-1.44,7.07,7.31,-0.12,0.1,-0.03,1.0,z
