hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3027.0,1515.0,1445.0,3234.0,4095.0,2817.0,2979.0,2338.0,-0.36,9.41,7.79,0.33,0.21,-0.29,0.0,z
3031.0,1510.0,1456.0,3233.0,4095.0,2834.0,2983.0,2339.0,0.52,9.34,6.92,0.18,0.16,-0.05,0.0,z
3038.0,1520.0,1456.0,3248.0,4095.0,2837.0,2991.0,2335.0,2.16,10.05,6.06,-0.01,0.11,0.03,0.0,z
3024.0,1519.0,1445.0,3270.0,4095.0,2833.0,2990.0,2330.0,2.65,10.31,4.39,-0.18,-0.2,-0.34,0.0,z
3038.0,1522.0,1456.0,3284.0,4095.0,2845.0,2985.0,2310.0,4.94,9.69,4.51,-0.94,-1.11,-1.68,0.0,z
3027.0,1520.0,1443.0,3291.0,4095.0,2847.0,2986.0,2329.0,-0.69,5.61,10.13,-1.09,-1.86,-2.06,0.0,z
3042.0,1512.0,1430.0,3294.0,4095.0,2845.0,2991.0,2339.0,-6.85,4.96,14.68,-0.28,-1.26,-0.55,0.0,z
3045.0,1509.0,1433.0,3302.0,4095.0,2842.0,2992.0,2349.0,-4.22,5.51,13.41,-0.2,0.11,-0.19,0.0,z
3037.0,1501.0,1427.0,3310.0,4095.0,2839.0,2995.0,2347.0,-3.12,4.13,11.45,-0.25,0.42,0.45,0.0,z
3044.0,1503.0,1434.0,3312.0,4095.0,2841.0,2995.0,2352.0,-4.87,4.15,10.27,-1.1,0.67,0.9,0.0,z
3039.0,1511.0,1440.0,3312.0,4095.0,2834.0,2992.0,2338.0,2.49,6.08,12.6,-1.38,0.45,2.16,0.0,z
3028.0,1520.0,1440.0,3310.0,4095.0,2834.0,2992.0,2337.0,4.81,8.24,13.51,-1.11,0.47,1.95,0.0,z
3030.0,1523.0,1438.0,3306.0,4068.0,2837.0,2993.0,2331.0,7.23,9.69,11.55,0.17,-0.09,0.3,0.0,z
3044.0,1535.0,1436.0,3312.0,4095.0,2838.0,2997.0,2336.0,6.12,8.48,9.2,-0.14,-0.83,-1.41,0.0,z
3028.0,1535.0,1437.0,3312.0,4095.0,2847.0,3001.0,2335.0,6.59,6.43,9.23,-0.88,-1.6,-2.45,0.0,z
3037.0,1521.0,1439.0,3311.0,4095.0,2850.0,3001.0,2342.0,3.05,1.18,14.71,-1.62,-1.16,-2.87,0.0,z
3039.0,1503.0,1430.0,3328.0,4095.0,2839.0,3007.0,2351.0,-4.38,-1.35,17.2,-0.22,-0.47,-1.4,0.0,z
3031.0,1509.0,1430.0,3332.0,4095.0,2832.0,3015.0,2348.0,0.06,1.64,15.32,-0.29,-0.03,-0.42,0.0,z
3046.0,1502.0,1425.0,3330.0,4095.0,2832.0,3014.0,2349.0,1.37,3.6,13.98,0.21,0.01,-0.13,0.0,z
3031.0,1495.0,1423.0,3332.0,4095.0,2839.0,3011.0,2352.0,1.58,3.97,13.44,-0.03,0.05,-0.03,0.0,z
3039.0,1600.0,1447.0,3293.0,4095.0,2886.0,3019.0,2366.0,-0.11,9.6,6.89,0.05,0.22,-0.06,0.0,z
3027.0,1600.0,1425.0,3312.0,4095.0,2891.0,3024.0,2353.0,2.28,10.22,4.79,0.2,0.23,-0.07,0.0,z
3034.0,1594.0,1446.0,3313.0,4095.0,2897.0,3021.0,2325.0,5.49,10.89,2.21,-0.56,-0.09,-0.79,0.0,z
3044.0,1595.0,1435.0,3325.0,4095.0,2897.0,3024.0,2327.0,2.38,8.72,6.0,-1.05,-1.33,-1.68,0.0,z
3047.0,1595.0,1424.0,3315.0,4095.0,2914.0,3038.0,2340.0,-0.31,6.55,10.81,-1.06,-1.83,-1.75,0.0,z
3029.0,1584.0,1409.0,3319.0,4095.0,2913.0,3042.0,2352.0,-6.45,4.64,14.22,-0.11,-1.1,-1.2,0.0,z
3024.0,1563.0,1414.0,3312.0,4095.0,2910.0,3041.0,2352.0,-5.19,5.61,13.39,-0.23,-0.18,0.03,0.0,z
3043.0,1566.0,1418.0,3325.0,4095.0,2916.0,3053.0,2354.0,-1.95,5.1,10.91,-0.14,0.6,0.39,0.0,z
3039.0,1573.0,1407.0,3323.0,4095.0,2917.0,3069.0,2354.0,-2.57,4.12,10.49,-0.73,0.59,1.15,0.0,z
3031.0,1589.0,1407.0,3329.0,4095.0,2919.0,3071.0,2368.0,-1.3,4.79,12.21,-1.15,0.56,1.62,0.0,z
3029.0,1597.0,1397.0,3317.0,4095.0,2910.0,3063.0,2352.0,2.56,7.18,12.45,-0.84,0.24,2.25,0.0,z
3029.0,1620.0,1388.0,3319.0,4074.0,2917.0,3071.0,2352.0,6.49,9.84,13.17,-0.3,0.38,1.08,0.0,z
3049.0,1616.0,1389.0,3315.0,4085.0,2929.0,3088.0,2322.0,4.5,9.29,10.09,0.28,-0.21,-0.62,0.0,z
