hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3041.0,4095.0,3092.0,3182.0,4095.0,2409.0,2621.0,2646.0,1.97,9.65,7.19,-0.25,0.49,0.54,0.0,z
3042.0,4095.0,3097.0,3087.0,4095.0,2375.0,2618.0,2615.0,8.61,6.1,14.74,-0.39,-0.36,-0.53,0.0,z
3030.0,4095.0,3088.0,3121.0,4095.0,2384.0,2617.0,2635.0,2.13,7.58,10.31,0.65,-2.61,-2.42,0.0,z
3046.0,4095.0,3106.0,3199.0,4095.0,2401.0,2616.0,2640.0,-10.26,6.67,8.31,0.31,-1.01,-1.47,0.0,z
3031.0,4095.0,3113.0,3203.0,4095.0,2414.0,2620.0,2608.0,-9.25,4.44,6.94,-1.3,0.06,-0.12,0.0,z
3043.0,4095.0,3099.0,3216.0,4095.0,2403.0,2611.0,2599.0,-4.73,3.81,12.42,-2.18,0.84,1.42,0.0,z
3030.0,4095.0,3136.0,3184.0,4095.0,2385.0,2559.0,2544.0,1.24,5.45,14.31,-1.98,0.91,1.93,0.0,z
3043.0,4095.0,3152.0,3136.0,4095.0,2372.0,2557.0,2559.0,6.05,6.94,15.8,-1.09,0.33,1.2,0.0,z
3033.0,4095.0,3175.0,3139.0,4095.0,2381.0,2559.0,2595.0,7.95,7.41,13.13,-0.26,-0.42,-0.28,0.0,z
3052.0,4095.0,3167.0,3156.0,4095.0,2378.0,2559.0,2601.0,6.21,5.6,13.27,0.07,-1.01,-1.69,0.0,z
3049.0,4095.0,3168.0,3168.0,4095.0,2384.0,2559.0,2624.0,2.82,3.97,12.39,-0.24,-1.34,-2.5,0.0,z
3030.0,4095.0,3166.0,3179.0,4095.0,2384.0,2578.0,2619.0,-1.37,0.79,16.21,-0.13,-0.82,-2.37,0.0,z
3029.0,4095.0,3168.0,3191.0,4095.0,2386.0,2590.0,2624.0,-2.54,1.81,14.91,0.2,-0.83,-0.99,0.0,z
3035.0,4095.0,3174.0,3206.0,4095.0,2389.0,2585.0,2634.0,-0.84,2.97,13.48,-0.02,-0.3,-0.55,0.0,z
3031.0,4095.0,3181.0,3213.0,4095.0,2395.0,2592.0,2641.0,0.17,4.11,13.65,0.06,-0.07,-0.21,0.0,z
3040.0,4095.0,3161.0,3214.0,4095.0,2390.0,2596.0,2640.0,0.58,4.8,13.4,0.09,0.03,-0.18,0.0,z
3047.0,4095.0,3179.0,3222.0,4095.0,2399.0,2595.0,2651.0,0.34,4.96,12.88,0.08,0.09,-0.2,0.0,z
3027.0,4095.0,3167.0,3219.0,4095.0,2398.0,2597.0,2647.0,0.63,5.19,13.22,0.07,0.11,-0.25,0.0,z
3034.0,4095.0,3163.0,3222.0,4095.0,2397.0,2601.0,2655.0,0.07,4.13,13.37,0.17,-0.04,-0.05,0.0,z
3038.0,4095.0,3158.0,3227.0,4095.0,2400.0,2604.0,2657.0,0.19,4.74,13.04,0.31,0.25,0.11,0.0,z
3034.0,4095.0,3223.0,3396.0,4095.0,2441.0,2653.0,2799.0,-1.16,9.09,5.36,0.02,0.09,0.25,0.0,z
3036.0,4095.0,3262.0,3386.0,4095.0,2411.0,2624.0,2731.0,3.92,8.25,9.94,-0.14,-1.83,-0.3,0.0,z
3030.0,4095.0,3279.0,3361.0,4095.0,2416.0,2611.0,2763.0,2.56,10.39,6.02,0.32,-0.09,-0.5,0.0,z
3042.0,4095.0,3273.0,3242.0,4095.0,2416.0,2626.0,2778.0,4.22,9.16,7.31,0.12,-1.71,-1.24,0.0,z
3029.0,4095.0,3285.0,3377.0,4095.0,2417.0,2629.0,2751.0,-0.56,8.53,7.4,0.23,-2.55,-1.61,0.0,z
3031.0,4095.0,3274.0,3354.0,4095.0,2420.0,2627.0,2737.0,-8.94,7.59,8.42,0.31,-0.41,-0.9,0.0,z
3029.0,4095.0,3276.0,3331.0,4095.0,2427.0,2627.0,2742.0,-9.23,6.12,8.84,-0.31,-0.06,-0.1,0.0,z
3039.0,4095.0,3279.0,3320.0,4095.0,2417.0,2607.0,2707.0,-5.6,6.53,8.14,-0.27,0.99,0.45,0.0,z
3029.0,4095.0,3312.0,3260.0,4095.0,2413.0,2545.0,2684.0,-1.21,8.68,9.12,-0.41,1.86,1.04,0.0,z
3039.0,4095.0,3305.0,3218.0,4095.0,2413.0,2531.0,2678.0,2.16,10.47,8.75,-1.09,1.16,0.9,0.0,z
3030.0,4095.0,3248.0,3229.0,4095.0,2415.0,2534.0,2639.0,7.46,12.35,4.49,0.0,-0.59,0.18,0.0,z
3039.0,4095.0,3269.0,3248.0,4095.0,2432.0,2548.0,2693.0,8.8,12.7,5.96,-0.47,-2.36,-1.49,0.0,z
3026.0,4095.0,3319.0,3279.0,4095.0,2437.0,2598.0,2755.0,1.68,7.35,12.19,-1.19,-2.14,-2.83,0.0,z
3036.0,4095.0,3342.0,3264.0,4095.0,2433.0,2608.0,2736.0,-4.45,5.25,12.51,0.52,-2.37,-0.94,0.0,z
3037.0,4095.0,3387.0,3264.0,4095.0,2445.0,2624.0,2725.0,-2.95,6.11,11.4,0.07,-1.08,0.24,0.0,z
3042.0,4095.0,3376.0,3293.0,4095.0,2451.0,2629.0,2752.0,-3.85,7.18,11.13,-0.46,-0.22,-0.08,0.0,z
3039.0,4095.0,3374.0,3303.0,4095.0,2460.0,2640.0,2756.0,-0.84,7.38,10.53,-0.05,0.07,-0.26,0.0,z
3043.0,4095.0,3365.0,3306.0,4095.0,2455.0,2640.0,2761.0,-1.14,8.04,10.05,-0.17,-0.14,-0.13,0.0,z
3038.0,4095.0,3366.0,3307.0,4095.0,2462.0,2638.0,2757.0,-1.06,7.94,10.25,0.0,-0.03,-0.1,0.0,z
3025.0,4095.0,3369.0,3311.0,4095.0,2457.0,2638.0,2757.0,-0.04,7.63,10.46,0.03,-0.02,-0.12,0.0,z
3043.0,4095.0,3366.0,3292.0,4095.0,2465.0,2671.0,2823.0,-0.07,10.1,5.85,0.01,-0.07,0.31,0.0,z
3041.0,4095.0,3364.0,3303.0,4095.0,2447.0,2669.0,2763.0,5.58,9.52,6.6,0.0,-1.01,0.39,0.0,z
3036.0,4095.0,3388.0,3293.0,4095.0,2460.0,2672.0,2771.0,4.2,9.97,6.89,0.33,-1.36,-0.54,0.0,z
3040.0,4095.0,3383.0,3308.0,4095.0,2471.0,2674.0,2799.0,4.33,9.58,7.63,0.08,-2.04,-1.34,0.0,z
3026.0,4095.0,3379.0,3295.0,4095.0,2466.0,2672.0,2795.0,-5.4,7.14,8.29,-0.27,-0.9,-1.7,0.0,z
3034.0,4095.0,3433.0,3293.0,4095.0,2466.0,2672.0,2765.0,-9.5,7.16,8.03,-0.61,-0.33,-0.44,0.0,z
