hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2910.0,2995.0,3314.0,3665.0,4095.0,3348.0,3190.0,3689.0,-1.58,8.93,3.0,-0.35,0.37,0.3,1.0,z
2903.0,2992.0,3325.0,3612.0,4095.0,3346.0,3198.0,3680.0,7.35,10.37,5.43,-0.3,-1.53,0.19,1.0,z
2910.0,2992.0,3312.0,3582.0,4095.0,3359.0,3193.0,3679.0,6.79,8.0,5.4,-0.59,-1.2,-2.12,1.0,z
2902.0,2997.0,3317.0,3648.0,4095.0,3369.0,3189.0,3672.0,-2.22,4.75,6.45,-0.38,-1.22,-2.48,1.0,z
2905.0,2988.0,3317.0,3633.0,4095.0,3359.0,3185.0,3678.0,-8.66,4.64,6.83,-0.62,-0.8,-1.27,1.0,z
2907.0,2991.0,3327.0,3601.0,4095.0,3359.0,3179.0,3664.0,-10.56,5.16,6.29,-0.19,0.45,0.69,1.0,z
2901.0,2992.0,3323.0,3609.0,4095.0,3367.0,3183.0,3675.0,-4.99,5.78,6.13,-0.24,0.95,2.26,1.0,z
2917.0,2983.0,3329.0,3596.0,4095.0,3345.0,3189.0,3664.0,1.42,7.46,6.57,-0.6,1.8,2.44,1.0,z
2903.0,2990.0,3330.0,3551.0,4095.0,3359.0,3193.0,3684.0,6.94,9.17,7.87,-0.13,1.64,0.91,1.0,z
2906.0,2993.0,3328.0,3524.0,4095.0,3369.0,3189.0,3663.0,10.7,9.37,6.69,0.17,-1.29,-1.44,1.0,z
2899.0,2981.0,3317.0,3544.0,4095.0,3394.0,3189.0,3661.0,3.41,5.52,7.07,-0.48,-1.76,-3.07,1.0,z
2917.0,2992.0,3327.0,3491.0,4095.0,3425.0,3184.0,3654.0,-6.21,4.05,8.53,-0.14,-0.64,-2.04,1.0,z
2906.0,2992.0,3329.0,3539.0,4095.0,3472.0,3201.0,3669.0,-6.21,5.06,9.22,-0.39,-0.79,-0.8,1.0,z
2910.0,2993.0,3331.0,3578.0,4095.0,3472.0,3203.0,3682.0,-4.04,5.49,7.99,0.18,-0.09,-0.23,1.0,z
2910.0,2989.0,3341.0,3568.0,4095.0,3455.0,3201.0,3670.0,-1.92,5.82,7.96,-0.01,0.06,0.19,1.0,z
2906.0,2982.0,3327.0,3571.0,4095.0,3451.0,3214.0,3685.0,-1.23,6.36,8.08,-0.02,0.14,-0.02,1.0,z
2912.0,2991.0,3323.0,3583.0,4095.0,3456.0,3216.0,3698.0,-1.81,6.45,8.17,0.04,0.03,-0.05,1.0,z
2913.0,2992.0,3342.0,3599.0,4095.0,3453.0,3211.0,3679.0,-1.78,6.5,7.55,0.12,0.08,0.02,1.0,z
